0,190.20027,インタビュー開始,4
1,284.101302,生まれの話,1
2,496.008425,稲村さん　資料,2
3,640.130821,稲村さん　昔写真,2
4,803.827031,横浜の今と昔のイメージ,1
5,836.974008,お二人の見た昔の横浜,1
6,912.973202,昔の学校,1
7,954.616728,昔の遊び,1
8,1168.194107,昔の人間関係,2
9,1240.549353,親はどんなだったか,1
10,1362.815348,親の姿を見て育つ,2
11,1487.441443,今と昔のグループ像,1
12,1593.304604,激動の時代,1
13,1612.610157,これまでの生活がガラッと変わった昭和時代,1
14,1679.954921,受け入れられるものと失われていくもの,3
15,1769.355858,今後の人生の在り方,4
16,1808.644943,バブル前の豊かな暮らし,3
17,1908.498557,バブル後の生活の変化,3
18,2074.704876,今と昔の進学目的の違い,1
19,2098.396281,勇気をもってたくさん経験を積む,2
20,2160.564404,外国にはない日本の良さ,1
21,2214.578514,四季や自然の素晴らしさが心の豊かさにつながる,2
22,2262.591056,行事に若者も参加してほしい！,4
23,2290.595082,みんなで暮らしを共有する,1
24,2331.200953,ひとりひとりの意識が大切,3
25,2539.376315,成人年齢引き下げについてどう思う？,4
26,2610.800065,若いうちにやっておくべきことは？,4
27,2711.378413,日本人の言葉や発音は素敵,2
28,2744.349434,言葉はその人自身を表すもの,1
29,2772.724318,失敗を恐れない,3
30,2810.403371,世代が違う人と関わる機会は少ない,4
31,2936.420321,若者がこれからの日本を作り上げる,3
32,3012.78703,昭和時代の学生,1
33,3165.577424,亡き母の料理集,2
34,3276.856013,戦後でおいしいものを食べさせたい,2
